pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
HATS-43 b,Transit,4.3888497,1003,,13.22662,8.30E+01,22.0775,"<div><span class=supersubNumber"">-0.398</span><span class=""superscript"">+0.047</span><span class=""subscript"">-0.053</span></div>""",0.837
K2-353 b,Transit,15.466805,735,,5.55,,,"<div><span class=supersubNumber"">-0.07632485</span><span class=""superscript"">+0.01752119</span><span class=""subscript"">-0.01551313</span></div>""",0.87
Kepler-685 b,Transit,1.6255222,1579,,10.58,,,-0.05138158,1.11
TOI-1806.01,Transit,15.1454693,337.47,,3.4095367,,,"<div><span class=supersubNumber"">-1.77852</span><span class=""superscript"">+0.09787</span><span class=""subscript"">-0.12655</span></div>""",0.392935
HIP 41378 e,Transit,369,335,F6,4.92,1.20E+01,50.42351,"<div><span class=supersubNumber"">0.3964642</span><span class=""superscript"">+0.0035969</span><span class=""subscript"">-0.0036270</span></div>""",1.16
HD 207897 b,Transit,16.20166,581.75,K0 V,2.34302132,1.48E+01,,"<div><span class=supersubNumber"">-0.421</span><span class=""superscript"">+0.043</span><span class=""subscript"">-0.041</span></div>""",0.8208
HD 110067 b,Transit,9.113678,800,K0.0 V,2.2,5.69E+00,,"<div><span class=supersubNumber"">-0.3622405</span><span class=""superscript"">+0.0074421</span><span class=""subscript"">-0.0116906</span></div>""",0.798
TOI-3474 b,Transit,3.8795105,1451,,14.67255574,1.94E+02,,"<div><span class=supersubNumber"">0.270</span><span class=""superscript"">+0.053</span><span class=""subscript"">-0.052</span></div>""",1.121
TOI-1333 b,Transit,4.720219,1679,,15.647764,7.53E+02,-15.16076,"<div><span class=supersubNumber"">0.713</span><span class=""superscript"">+0.039</span><span class=""subscript"">-0.040</span></div>""",1.464
HIP 109384 b,Radial Velocity,499.48,,G5,13.5,,-63.6784,"<div><span class=supersubNumber"">-0.31878274</span><span class=""superscript"">+0.00133776</span><span class=""subscript"">-0.00134191</span></div>""",0.78
HD 220842 b,Radial Velocity,218.47,,F8,13.1,,-22.5746,"<div><span class=supersubNumber"">0.35703021</span><span class=""superscript"">+0.00163799</span><span class=""subscript"">-0.00164421</span></div>""",1.13
Kepler-445 d,Transit,8.15275,305,M4,1.25,,-61,"<div><span class=supersubNumber"">-2.09994</span><span class=""superscript"">+0.10187</span><span class=""subscript"">-0.13333</span></div>""",0.18
Kepler-445 c,Transit,4.871229,341,M4,2.51,,-61,"<div><span class=supersubNumber"">-2.09994</span><span class=""superscript"">+0.10187</span><span class=""subscript"">-0.13333</span></div>""",0.18
Kepler-432 b,Transit,52.501129,812,,12.834305,1.72E+03,-35.22,"<div><span class=supersubNumber"">0.9256126</span><span class=""superscript"">+0.0169379</span><span class=""subscript"">-0.0176254</span></div>""",1.32
TOI-5181 A b,Transit,3.8922295,1585,,13.34989601,3.31E+02,,"<div><span class=supersubNumber"">0.458</span><span class=""superscript"">+0.028</span><span class=""subscript"">-0.040</span></div>""",1.25
HD 20329 b,Transit,0.926118,2141,,1.72,7.42E+00,-71.539,"<div><span class=supersubNumber"">0.04922</span><span class=""superscript"">+0.00232</span><span class=""subscript"">-0.00233</span></div>""",0.9
Kepler-1624 b,Transit,3.290304518,540,,5.7,,,"<div><span class=supersubNumber"">-1.32262</span><span class=""superscript"">+0.09288</span><span class=""subscript"">-0.11831</span></div>""",0.5
HAT-P-68 b,Transit,2.29840551,1027.8,K,12.016048,2.30E+02,,"<div><span class=supersubNumber"">-0.7791</span><span class=""superscript"">+0.0159</span><span class=""subscript"">-0.0165</span></div>""",0.6785
L 98-59 d,Transit,7.450729,416,M3 V,1.627,1.64E+00,-5.6784,"<div><span class=supersubNumber"">-1.91</span><span class=""superscript"">+0.03</span><span class=""subscript"">-0.04</span></div>""",0.2923
TOI-2141 d,Radial Velocity,60.45,491.4,,3.97,,,-0.050&plusmn;0.060,0.896
TOI-2497 b,Transit,10.655669,1595,,11.14172682,1.53E+03,,"<div><span class=supersubNumber"">1.17</span><span class=""superscript"">+0.06</span><span class=""subscript"">-0.05</span></div>""",1.859
HD 158259 c,Radial Velocity,3.432,,G0,2.23,,13.3,"<div><span class=supersubNumber"">0.21232664</span><span class=""superscript"">+0.00056574</span><span class=""subscript"">-0.00056648</span></div>""",1.08
HR 858 b,Transit,3.585287,1552,F6 V,2.004,3.55E+00,10.06767,"<div><span class=supersubNumber"">0.364</span><span class=""superscript"">+0.022</span><span class=""subscript"">-0.023</span></div>""",1.204
OGLE-2008-BLG-092L b,Microlensing,,,,8.74,5.70E+01,,,0.71
OGLE-2005-BLG-071L b,Microlensing,,55,,13,1.20E+03,,,0.46
Kepler-445 b,Transit,2.984151,401,M4,1.58,,-61,"<div><span class=supersubNumber"">-2.09994</span><span class=""superscript"">+0.10187</span><span class=""subscript"">-0.13333</span></div>""",0.18
Kepler-446 d,Transit,5.148921,436,M4,1.35,,-118,"<div><span class=supersubNumber"">-2.2477</span><span class=""superscript"">+0.0963</span><span class=""subscript"">-0.1240</span></div>""",0.22
8 UMi b,Radial Velocity,93.31,,K0,13.5,,-9.20325,"<div><span class=supersubNumber"">1.72</span><span class=""superscript"">+0.05</span><span class=""subscript"">-0.05</span></div>""",1.51
HD 176986 c,Radial Velocity,16.8191,,K2.5 V,,2.10E+03,37.39292,"<div><span class=supersubNumber"">-0.480</span><span class=""superscript"">+0.034</span><span class=""subscript"">-0.037</span></div>""",0.789
TOI-1798.01,Transit,8.021522331,734.31,,2.448,6.50E+00,,"<div><span class=supersubNumber"">-0.416</span><span class=""superscript"">+0.022</span><span class=""subscript"">-0.021</span></div>""",0.87
K2-133 c,Transit,4.86784,,M1.5 V,1.603,,107.2,"<div><span class=supersubNumber"">-1.48</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",0.461
HIP 41378 f,Transit,542.07975,294,F6,9.2,1.20E+01,50.42351,"<div><span class=supersubNumber"">0.3964642</span><span class=""superscript"">+0.0035969</span><span class=""subscript"">-0.0036270</span></div>""",1.16
OGLE-2006-BLG-109L b,Microlensing,1788.5,82,,14,2.31E+02,,,0.51
2MASS J02192210-3925225 b,Imaging,,,M6,16.14096,4.42E+03,10.6,-2.23&plusmn;0.06,0.108
TOI-4201 b,Transit,3.5819194,725,M1.0+/-0.5,13.67495645,7.88E+02,42.1,"<div><span class=supersubNumber"">-1.1</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.61
HD 118203 c,Radial Velocity,5103,146,K0 IV,12.4,3.75E+03,-29.3643,0.6458&plusmn;0.0018,1.27
TOI-1386 c,Radial Velocity,232,327.4,G5V,10.3,,,"<div><span class=supersubNumber"">0.01030</span><span class=""superscript"">+0.02473</span><span class=""subscript"">-0.02442</span></div>""",1.0363
NGTS-24 b,Transit,3.4678796,1499,G2 IV,13.60770257,1.65E+02,,"<div><span class=supersubNumber"">0.4459</span><span class=""superscript"">+0.0322</span><span class=""subscript"">-0.0475</span></div>""",1.26
WASP-66 b,Transit,4.08605,1569.7,,15.6926,7.47E+02,-10.02458,"<div><span class=supersubNumber"">0.6372404</span><span class=""superscript"">+0.0153525</span><span class=""subscript"">-0.0159151</span></div>""",1.33
Qatar-8 b,Transit,3.71495,1457,G0 V,14.403565,1.18E+02,5.57,"<div><span class=supersubNumber"">0.2279</span><span class=""superscript"">+0.0171</span><span class=""subscript"">-0.0178</span></div>""",1.029
TOI-1136 e,Transit,18.801,737,,2.639,6.07E+00,,"<div><span class=supersubNumber"">-0.0269</span><span class=""superscript"">+0.0225</span><span class=""subscript"">-0.0233</span></div>""",1.022
KELT-18 b,Transit,2.8717518,2085,F4 V,17.59813,3.75E+02,-11.6,"<div><span class=supersubNumber"">0.813</span><span class=""superscript"">+0.041</span><span class=""subscript"">-0.041</span></div>""",1.524
TOI-431 d,Transit,12.46103,633,,3.29,9.90E+00,,"<div><span class=supersubNumber"">-0.5650859</span><span class=""superscript"">+0.0121930</span><span class=""subscript"">-0.0125605</span></div>""",0.78
GJ 341 b,Transit,7.57686,629,M1,0.88,4.00E+00,,"<div><span class=supersubNumber"">-1.31072</span><span class=""superscript"">+0.08923</span><span class=""subscript"">-0.11243</span></div>""",0.48
K2-138 b,Transit,2.35309,1157,G8 V,1.51,3.10E+00,0.6386,"<div><span class=supersubNumber"">-0.28653978</span><span class=""superscript"">+0.00591181</span><span class=""subscript"">-0.00599340</span></div>""",0.935
K2-178 b,Transit,8.747818,840.29,,3.55790985,,0.38881,"<div><span class=supersubNumber"">-0.28382476</span><span class=""superscript"">+0.00538358</span><span class=""subscript"">-0.00545113</span></div>""",0.95109
HD 191939 e,Radial Velocity,101.12,390,G9 V,13,,-9.5,"<div><span class=supersubNumber"">-0.19</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.81
TOI-2076 d,Transit,35.125686,457.68,K,3.43087751,2.90E+01,,"<div><span class=supersubNumber"">-0.378</span><span class=""superscript"">+0.037</span><span class=""subscript"">-0.037</span></div>""",0.8557
Kepler-449 c,Transit,33.6727,661,,2.764,,14.62561,0.296,1.02
HIP 94235 b,Transit,7.713057,1060,G V,3,3.79E+02,,"<div><span class=supersubNumber"">0.13759240</span><span class=""superscript"">+0.00776759</span><span class=""subscript"">-0.01818054</span></div>""",1.094
TOI-6628 b,Transit,18.18424,833,,10.98480109,2.35E+02,,"<div><span class=supersubNumber"">-0.0878</span><span class=""superscript"">+0.0238</span><span class=""subscript"">-0.0240</span></div>""",0.97
TOI-1736 b,Transit,7.073076,1099.79,,3.18175535,1.23E+01,,"<div><span class=supersubNumber"">0.2707</span><span class=""superscript"">+0.0264</span><span class=""subscript"">-0.0257</span></div>""",1.0373
TOI-5174 b,Transit,12.214286,808.37,,5.351,,,"<div><span class=supersubNumber"">0.039458141</span><span class=""superscript"">+0.015955284</span><span class=""subscript"">-0.014728016</span></div>""",1
Kepler-318 c,Transit,11.815007,762,,3.68,,,"<div><span class=supersubNumber"">0.0039428136</span><span class=""superscript"">+0.0246053818</span><span class=""subscript"">-0.0217298524</span></div>""",1.073
K2-330 b,Transit,13.774798,969,,2.77,,,"<div><span class=supersubNumber"">0.4770186</span><span class=""superscript"">+0.0146979</span><span class=""subscript"">-0.0209959</span></div>""",1.23
TOI-3235 b,Transit,2.59261842,604,M V,11.39953337,2.11E+02,,"<div><span class=supersubNumber"">-1.790</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.011</span></div>""",0.3939
Kepler-431 d,Transit,11.922,856,,1.11,,-8.99744,"<div><span class=supersubNumber"">0.4983944</span><span class=""superscript"">+0.0173896</span><span class=""subscript"">-0.0165205</span></div>""",1.071
Kepler-431 c,Transit,8.703,951,,0.668,,-8.99744,"<div><span class=supersubNumber"">0.4983944</span><span class=""superscript"">+0.0173896</span><span class=""subscript"">-0.0165205</span></div>""",1.071
HATS-57 b,Transit,2.350621,1413.4,,12.767051,1.00E+03,0.5444,"<div><span class=supersubNumber"">-0.0942</span><span class=""superscript"">+0.0096</span><span class=""subscript"">-0.0098</span></div>""",1.026
Kepler-449 b,Transit,12.58242,917,,2.056,,14.62561,0.296,1.02
HD 1461 b,Radial Velocity,5.77152,,G0 V,2.42,,-10.0596,"<div><span class=supersubNumber"">0.095395684</span><span class=""superscript"">+0.012312285</span><span class=""subscript"">-0.008744689</span></div>""",1.02
HD 1461 c,Radial Velocity,13.5052,,G0 V,2.23,,-10.0596,"<div><span class=supersubNumber"">0.095395684</span><span class=""superscript"">+0.012312285</span><span class=""subscript"">-0.008744689</span></div>""",1.02
GJ 3341 b,Radial Velocity,14.207,,M2.5,2.46,,47.803,-1.538,0.47
Kepler-430 c,Transit,110.979,458,,1.75,,,0.312069,1.166
Kepler-444 b,Transit,3.6001053,938,K,0.403,,-121.9,"<div><span class=supersubNumber"">-0.4245528</span><span class=""superscript"">+0.0113444</span><span class=""subscript"">-0.0093510</span></div>""",0.758
Kepler-444 c,Transit,4.5458841,868,K,0.497,,-121.9,"<div><span class=supersubNumber"">-0.4245528</span><span class=""superscript"">+0.0113444</span><span class=""subscript"">-0.0093510</span></div>""",0.758
TOI-4010 d,Transit,14.70886,650,K V,6.18,3.82E+01,,"<div><span class=supersubNumber"">-0.3996049</span><span class=""superscript"">+0.0281905</span><span class=""subscript"">-0.0148203</span></div>""",0.88
K2-275 c,Transit,8.4388385,653,,2.21,,-7.34841,"<div><span class=supersubNumber"">-0.5933212</span><span class=""superscript"">+0.0117713</span><span class=""subscript"">-0.0178411</span></div>""",0.77
WASP-193 b,Transit,6.2463475,1250,F9,14.78464554,3.56E+01,-2.78,"<div><span class=supersubNumber"">0.260</span><span class=""superscript"">+0.030</span><span class=""subscript"">-0.030</span></div>""",1.018
HD 135694 b,Transit,15.92347557,750.83,,2.857,6.10E+00,,"<div><span class=supersubNumber"">0.03941</span><span class=""superscript"">+0.02429</span><span class=""subscript"">-0.02364</span></div>""",1.02
MOA-2011-BLG-262L b,Microlensing,,,,4.29,1.70E+01,,,0.11
HD 40307 d,Radial Velocity,20.432,541,K2.5 V,,1.78E+03,31.33438,-0.639&plusmn;0.060,0.77
HD 87883 b,Radial Velocity,3006,,K0,12.7,2.01E+03,9.30382,"<div><span class=supersubNumber"">-0.471</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.010</span></div>""",0.8
TOI-815 c,Transit,34.976145,469,K3 V,2.62,2.35E+01,-2.97361,"<div><span class=supersubNumber"">-0.5045932</span><span class=""superscript"">+0.0105670</span><span class=""subscript"">-0.0123089</span></div>""",0.776
Kepler-25 d,Radial Velocity,122.4,,F8,10,7.19E+01,-7.59435,"<div><span class=supersubNumber"">0.422</span><span class=""superscript"">+0.011</span><span class=""subscript"">-0.012</span></div>""",1.165
TOI-3331 A b,Transit,2.0180231,1488,,12.97999965,7.21E+02,,"<div><span class=supersubNumber"">-0.0931</span><span class=""superscript"">+0.0415</span><span class=""subscript"">-0.0382</span></div>""",1.016
TOI-1438 b,Transit,5.13967,971,K0 V,3.04,9.40E+00,-29.4,"<div><span class=supersubNumber"">-0.35</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",0.876
K2-132 b,Transit,9.1751,1586,,14.5717,1.56E+02,10.36615,"<div><span class=supersubNumber"">0.943</span><span class=""superscript"">+0.009</span><span class=""subscript"">-0.010</span></div>""",1.08
TOI-1470 b,Transit,2.527093,734,M1.5 V,2.18,7.32E+00,,"<div><span class=supersubNumber"">-1.42</span><span class=""superscript"">+0.00</span><span class=""subscript"">-0.00</span></div>""",0.471
HD 136352 d,Radial Velocity,107.245,431,G4 V,2.562,8.82E+00,-69,"<div><span class=supersubNumber"">0.01620</span><span class=""superscript"">+0.02401</span><span class=""subscript"">-0.02541</span></div>""",0.87
HD 40307 f,Radial Velocity,51.76,398,K2.5 V,2.13,,31.33438,-0.639&plusmn;0.060,0.77
Kepler-444 e,Transit,7.743493,727,K,0.546,1.00E-01,-121.9,"<div><span class=supersubNumber"">-0.4245528</span><span class=""superscript"">+0.0113444</span><span class=""subscript"">-0.0093510</span></div>""",0.758
Kepler-444 d,Transit,6.189392,783,K,0.53,2.00E-01,-121.9,"<div><span class=supersubNumber"">-0.4245528</span><span class=""superscript"">+0.0113444</span><span class=""subscript"">-0.0093510</span></div>""",0.758
Kepler-444 f,Transit,9.740486,673,K,0.741,,-121.9,"<div><span class=supersubNumber"">-0.4245528</span><span class=""superscript"">+0.0113444</span><span class=""subscript"">-0.0093510</span></div>""",0.758
HIP 107773 b,Radial Velocity,144.3,,K1 III,13.4,,-0.17011,"<div><span class=supersubNumber"">1.87</span> <span class=""superscript"">+0.05</span><span class=""subscript"">-0.06</span> </div>""",2.42
TOI-1794 b,Transit,8.765528,992.91,,3.29701268,8.70E+00,,"<div><span class=supersubNumber"">0.1973</span><span class=""superscript"">+0.0244</span><span class=""subscript"">-0.0241</span></div>""",0.9698
K2-174 b,Transit,19.562307,455,,2.6,,-0.67004,"<div><span class=supersubNumber"">-0.7726942</span><span class=""superscript"">+0.0300009</span><span class=""subscript"">-0.0194975</span></div>""",0.7
TOI-615 b,Transit,4.6615983,1666,F2 V,18.97680433,1.38E+02,,"<div><span class=supersubNumber"">0.768</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.011</span></div>""",1.449
HIP 41378 b,Transit,15.57208,959,F6,2.595,6.89E+00,50.42351,"<div><span class=supersubNumber"">0.3964642</span><span class=""superscript"">+0.0035969</span><span class=""subscript"">-0.0036270</span></div>""",1.16
OGLE-2005-BLG-169L b,Microlensing,,,K5,3.84,1.41E+01,,,0.69
K2-133 d,Transit,11.02454,734,M1.5 V,2.003,,107.2,"<div><span class=supersubNumber"">-1.48</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",0.461
K2-165 b,Transit,2.354992,,,1.27443657,,-0.30325,"<div><span class=supersubNumber"">-0.36982197</span><span class=""superscript"">+0.00494207</span><span class=""subscript"">-0.00499897</span></div>""",0.834847
TOI-1694 c,Radial Velocity,393.1,,,13.8,,,"<div><span class=supersubNumber"">-0.418</span><span class=""superscript"">+0.023</span><span class=""subscript"">-0.023</span></div>""",0.853
TOI-2443 b,Transit,15.66858,519,K5 V,2.363,4.80E+00,,"<div><span class=supersubNumber"">-0.8649</span><span class=""superscript"">+0.0175</span><span class=""subscript"">-0.0182</span></div>""",0.642
K2-87 b,Transit,9.726618,979,,7.6,,,"<div><span class=supersubNumber"">-0.097689000</span><span class=""superscript"">+0.014938867</span><span class=""subscript"">-0.015471040</span></div>""",1.164
TOI-3261 b,Transit,0.8831331,1722,K1.5+/-1,3.82,3.03E+01,,"<div><span class=supersubNumber"">-0.367</span><span class=""superscript"">+0.025</span><span class=""subscript"">-0.020</span></div>""",0.861
TOI-4666 b,Transit,2.9089168,713,M2.5 V,12.44196858,2.22E+02,,"<div><span class=supersubNumber"">-1.2</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.58
WASP-60 b,Transit,4.305,1479,G1 V,9.86392,1.75E+02,-26.6288,"<div><span class=supersubNumber"">0.34748489</span><span class=""superscript"">+0.01088053</span><span class=""subscript"">-0.01116015</span></div>""",1.19
Kepler-37 d,Transit,39.7922622,499,,2.03,2.00E+00,-30.1,"<div><span class=supersubNumber"">-0.3218689</span><span class=""superscript"">+0.0088020</span><span class=""subscript"">-0.0095229</span></div>""",0.79
TOI-776 b,Transit,8.24662,520,M1 V,1.798,5.00E+00,49.34294,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.542
TOI-512 b,Transit,7.18886,1009,,1.54,3.57E+00,68.07696,"<div><span class=supersubNumber"">-0.2570</span><span class=""superscript"">+0.0053</span><span class=""subscript"">-0.0054</span></div>""",0.74
TOI-833 b,Transit,1.0418777,1118,,1.27,,,"<div><span class=supersubNumber"">-1.11104</span><span class=""superscript"">+0.08632</span><span class=""subscript"">-0.10784</span></div>""",0.61
KELT-24 b,Transit,5.55149296,1391,F7,12.71098411,1.46E+03,-5.63,"<div><span class=supersubNumber"">0.439</span><span class=""superscript"">+0.036</span><span class=""subscript"">-0.034</span></div>""",1.268
TOI-858 B b,Transit,3.2797178,1529,G0,14.06727078,3.50E+02,,"<div><span class=supersubNumber"">0.2529</span><span class=""superscript"">+0.0225</span><span class=""subscript"">-0.0206</span></div>""",1.081
Kepler-1704 b,Transit,988.88112,253.8,,11.94877343,1.32E+03,,"<div><span class=supersubNumber"">0.452</span><span class=""superscript"">+0.025</span><span class=""subscript"">-0.030</span></div>""",1.132
Kepler-1693 b,Transit,12.0999,807,,1.28938413,,,-0.2180765,0.95
HD 199509 b,Radial Velocity,99.62167,,G3V,7.43,,-21.6,"<div><span class=supersubNumber"">-0.08418733</span><span class=""superscript"">+0.00979549</span><span class=""subscript"">-0.01328290</span></div>""",1.04
Kepler-104 b,Transit,11.427548,852,,3.1,1.96E+01,4.5074,"<div><span class=supersubNumber"">0.089262021</span><span class=""superscript"">+0.018697681</span><span class=""subscript"">-0.015760285</span></div>""",0.818
Kepler-945 b,Transit,31.0033814,616,,2.63,,,0.02446843,0.97
TOI-2416 b,Transit,8.275479,1080,,9.86390302,9.53E+02,,"<div><span class=supersubNumber"">0.1970</span><span class=""superscript"">+0.0207</span><span class=""subscript"">-0.0172</span></div>""",1.118
HD 110113 c,Radial Velocity,6.744,990,G,2.11384817,,17.13053,"<div><span class=supersubNumber"">-0.0323495</span><span class=""superscript"">+0.0037929</span><span class=""subscript"">-0.0038268</span></div>""",0.997
TOI-2295 c,Radial Velocity,966.5,234.9,,12.8,,,"<div><span class=supersubNumber"">0.314</span><span class=""superscript"">+0.053</span><span class=""subscript"">-0.056</span></div>""",1.168
TOI-1450 A c,Transit,5.0688,533,M3.0 V,1.13,,,"<div><span class=supersubNumber"">-1.56499</span><span class=""superscript"">+0.09500</span><span class=""subscript"">-0.12178</span></div>""",0.48
Kepler-20 e,Transit,6.0984882,1004,,0.821,7.60E-01,-20.9269,"<div><span class=supersubNumber"">-0.1645077</span><span class=""superscript"">+0.0124069</span><span class=""subscript"">-0.0144158</span></div>""",0.929
TOI-1136 f,Transit,26.321,658,,3.73591482,9.70E+00,,"<div><span class=supersubNumber"">-0.0269</span><span class=""superscript"">+0.0225</span><span class=""subscript"">-0.0233</span></div>""",1.022
HATS-32 b,Transit,2.8126548,1437,,14.000041,2.92E+02,12.423,"<div><span class=supersubNumber"">0.0569</span><span class=""superscript"">+0.0830</span><span class=""subscript"">-0.0746</span></div>""",1.099
HAT-P-46 b,Transit,4.463129,1458,,14.392,1.57E+02,-20.911,"<div><span class=supersubNumber"">0.391</span> <span class=""superscript"">+0.178</span><span class=""subscript"">-0.096</span> </div>""",1.284
TOI-1244 b,Transit,6.400316483,714.86,,2.467,6.60E+00,,"<div><span class=supersubNumber"">-0.629</span><span class=""superscript"">+0.035</span><span class=""subscript"">-0.037</span></div>""",0.73
Kepler-1130 b,Transit,5.45298175,904,,0.8,,7.46097,"<div><span class=supersubNumber"">-0.2596376</span><span class=""superscript"">+0.0101824</span><span class=""subscript"">-0.0144474</span></div>""",0.9
HIP 56640 b,Radial Velocity,2675.57603,,K1 III,12.7,2.15E+03,,1.05&plusmn;0.01,1.75
Kepler-1878 b,Transit,4.445879936,1063,,2.92019781,,,0.1868891,0.956
HD 21411 b,Radial Velocity,84.288,,G8 V,9.52,,17.81518,"<div><span class=supersubNumber"">-0.265948</span><span class=""superscript"">+0.000698</span><span class=""subscript"">-0.000699</span></div>""",0.89
Kepler-239 c,Transit,56.228098,366,,2.51,,,-0.4748879,0.757
WASP-197 b,Transit,5.167228,1665,,14.44837612,4.03E+02,,"<div><span class=supersubNumber"">0.7706668</span><span class=""superscript"">+0.0270218</span><span class=""subscript"">-0.0288216</span></div>""",1.36
BEBOP-4 AB b,Radial Velocity,1823.5,,G3 V,,8.36E+03,5.2775,"<div><span class=supersubNumber"">0.8593286</span><span class=""superscript"">+0.0134584</span><span class=""subscript"">-0.0174267</span></div>""",1.507
WASP-132 c,Transit,1.01153624,1329,K4 V,1.841,6.26E+00,31.067,"<div><span class=supersubNumber"">-0.575</span><span class=""superscript"">+0.027</span><span class=""subscript"">-0.020</span></div>""",0.789
WASP-192 b,Transit,2.8786765,1620,G0 V,13.78707,7.31E+02,15.896,"<div><span class=supersubNumber"">0.28203325</span><span class=""superscript"">+0.01771464</span><span class=""subscript"">-0.01846805</span></div>""",1.09
K2-394 b,Transit,5.095717,643,,1.692,,,"<div><span class=supersubNumber"">-0.8584132</span><span class=""superscript"">+0.0339908</span><span class=""subscript"">-0.0211846</span></div>""",0.478
TOI-5800 b,Transit,2.6278838,1108,K3 V,2.46,9.50E+00,,"<div><span class=supersubNumber"">-0.510</span><span class=""superscript"">+0.021</span><span class=""subscript"">-0.022</span></div>""",0.778
Kepler-1849 b,Transit,57.29290009,355,,2.38685349,,,-0.6623076,0.709
DMPP-1 d,Radial Velocity,2.882,1632,F8 V,1.65,,28.60697,"<div><span class=supersubNumber"">0.31954673</span><span class=""superscript"">+0.00173391</span><span class=""subscript"">-0.00174086</span></div>""",1.21
Kepler-315 c,Transit,265.469335,291,,4.15,,,0.003826168,0.831
Qatar-10 b,Transit,1.645321,1955,F7 V,17.295487,2.34E+02,-25.49,"<div><span class=supersubNumber"">0.2995</span><span class=""superscript"">+0.0200</span><span class=""subscript"">-0.0210</span></div>""",1.156
TOI-2015 c,Transit Timing Variations,5.582796,448,M4 +/- 0.5,2.93,8.91E+00,-32.04,"<div><span class=supersubNumber"">-1.49</span><span class=""superscript"">+0.04</span><span class=""subscript"">-0.04</span></div>""",0.3041
Kepler-417 c,Transit Timing Variations,15.943,616,,2.69,,,-0.4106132,0.9
KMT-2017-BLG-1146L b,Microlensing,,,,14,2.30E+02,,,0.33
Kepler-1213 b,Transit,5.34982412,1156,,1.19,,,"<div><span class=supersubNumber"">0.39455324</span><span class=""superscript"">+0.01864859</span><span class=""subscript"">-0.01527543</span></div>""",1.14
Kepler-1020 b,Transit,96.9151496,325,,2.28,,,-0.435969,0.87
Kepler-682 b,Transit,12.61190667,753,,7.37,,,0.4799412,0.92
K2-194 b,Transit,39.721386,,,3.64229858,,-7.94951,"<div><span class=supersubNumber"">0.3630160</span><span class=""superscript"">+0.0335234</span><span class=""subscript"">-0.0250995</span></div>""",1.110086
BD+05 4868 A b,Transit,1.271869,1820,K V,,6.20E+00,-25.6,"<div><span class=supersubNumber"">-0.717</span><span class=""superscript"">+0.011</span><span class=""subscript"">-0.011</span></div>""",0.7
Kepler-579 b,Transit,9.66857723,730,,2,,,-0.3109438,0.99
HD 216770 b,Radial Velocity,118.45,,G9 V CN+1,14.1,,30.7,-0.1,0.74
Kepler-1074 b,Transit,5.94566534,568,,1.25,,,"<div><span class=supersubNumber"">-1.12071</span><span class=""superscript"">+0.08676</span><span class=""subscript"">-0.10854</span></div>""",0.6
WASP-133 b,Transit,2.176423,1790,G4,13.56289,3.69E+02,-23.913,"<div><span class=supersubNumber"">0.30545127</span><span class=""superscript"">+0.01758318</span><span class=""subscript"">-0.01832519</span></div>""",1.16
TOI-2194 b,Transit,15.337597,590.88,,1.9892,,,"<div><span class=supersubNumber"">-0.6895455</span><span class=""superscript"">+0.0182968</span><span class=""subscript"">-0.0164310</span></div>""",0.74
TOI-1224 b,Transit,4.1782745,541,,2.104,,14.63,"<div><span class=supersubNumber"">-1.70</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.4
TOI-564 b,Transit,1.651144,1714,,11.43318,4.65E+02,7.71682,"<div><span class=supersubNumber"">0.03262</span><span class=""superscript"">+0.01114</span><span class=""subscript"">-0.01226</span></div>""",0.998
Kepler-1656 c,Radial Velocity,1919,,,14,1.26E+02,-39.28611,"<div><span class=supersubNumber"">0.020826408</span><span class=""superscript"">+0.012688298</span><span class=""subscript"">-0.011491963</span></div>""",1.03
TOI-1410 c,Radial Velocity,47.56,,,5.63,,,"<div><span class=supersubNumber"">-0.622</span><span class=""superscript"">+0.037</span><span class=""subscript"">-0.034</span></div>""",0.7941
HATS-55 b,Transit,4.2042001,1367,,14.022459,2.93E+02,-2.9199,"<div><span class=supersubNumber"">0.2289</span><span class=""superscript"">+0.0136</span><span class=""subscript"">-0.0141</span></div>""",1.1955
WASP-183 b,Transit,4.1117771,1111,G9,16.47723,1.60E+02,68.709,"<div><span class=supersubNumber"">-0.2087250</span><span class=""superscript"">+0.0082836</span><span class=""subscript"">-0.0084447</span></div>""",0.784
HD 45184 b,Radial Velocity,5.8854,,G1.5 V,3.52,,-4.1,"<div><span class=supersubNumber"">0.0531</span><span class=""superscript"">+0.0038</span><span class=""subscript"">-0.0039</span></div>""",1.03
Kepler-700 b,Transit,80.8720639,452,,5.99,,,0.2296058,0.98
