pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
TOI-2095 b,Transit,17.66484,347,M2.5 V,1.25,4.10E+00,-19.94,"<div><span class=supersubNumber"">-1.459</span><span class=""superscript"">+0.001</span><span class=""subscript"">-0.002</span></div>""",0.44
TOI-1470 c,Transit,18.08816,373,M1.5 V,2.47,7.24E+00,,"<div><span class=supersubNumber"">-1.42</span><span class=""superscript"">+0.00</span><span class=""subscript"">-0.00</span></div>""",0.471
Kepler-1038 c,Transit,7.127659798,784,,1.4162338,,,-0.3619961,0.868
HD 109271 c,Radial Velocity,30.93,,G5 V,5.27,,-4.903,"<div><span class=supersubNumber"">0.301</span> <span class=""superscript"">+0.061</span><span class=""subscript"">-0.071</span> </div>""",1.047
TOI-5293 A b,Transit,2.930289,675,M3+/-1,11.9,1.70E+02,8,-1.37414,0.54
Kepler-26 e,Transit,46.827915,276,M0 V,2.41,,,"<div><span class=supersubNumber"">-1.1</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.593
Kepler-1731 b,Transit,21.76129913,486,,2.93295657,,,"<div><span class=supersubNumber"">-0.5996143</span><span class=""superscript"">+0.0176090</span><span class=""subscript"">-0.0159349</span></div>""",0.781
TOI-622 b,Transit,6.402513,1388,F6 V,9.2362001,9.63E+01,,"<div><span class=supersubNumber"">0.4741</span><span class=""superscript"">+0.0101</span><span class=""subscript"">-0.0103</span></div>""",1.313
Kepler-169 b,Transit,3.250619,962,,1.13,,,-0.4961065,0.825
Kepler-239 b,Transit,11.763051,616,,2.33,,,-0.4748879,0.757
Kepler-1812 b,Transit,7.165219784,1034,,2.3249424,,,0.2798797,1.162
Kepler-738 b,Transit,24.58721573,530,,2.5,,,-0.212628,0.86
Kepler-1778 b,Transit,10.08740044,942,,3.01665969,,,0.09780166,1.143
Kepler-1005 b,Transit,6.49801525,1026,,1.5,,,"<div><span class=supersubNumber"">0.13560105</span><span class=""superscript"">+0.01259886</span><span class=""subscript"">-0.01347663</span></div>""",1
Kepler-617 b,Transit,1.682696148,750,M1 V,1.32,,,"<div><span class=supersubNumber"">-1.30507</span><span class=""superscript"">+0.09037</span><span class=""subscript"">-0.11425</span></div>""",0.51
Kepler-371 c,Transit,67.968015,443,,1.78,,,0.2439177,0.876
Kepler-211 b,Transit,4.138575,954,,1.26,,,"<div><span class=supersubNumber"">-0.4133017</span><span class=""superscript"">+0.0146329</span><span class=""subscript"">-0.0146009</span></div>""",0.867
HD 25912 b,Radial Velocity,41.83156,,,6.9,,,"<div><span class=supersubNumber"">0.040579399</span><span class=""superscript"">+0.010805728</span><span class=""subscript"">-0.015260300</span></div>""",1.08
TOI-4010 b,Transit,1.348335,1441,K V,3.02,1.10E+01,,"<div><span class=supersubNumber"">-0.3996049</span><span class=""superscript"">+0.0281905</span><span class=""subscript"">-0.0148203</span></div>""",0.88
GJ 367 b,Transit,0.3219225,1365,M1.0 V,0.699,6.33E-01,47.91674,"<div><span class=supersubNumber"">-1.54</span><span class=""superscript"">+0.04</span><span class=""subscript"">-0.04</span></div>""",0.455
TOI-2641 b,Transit,4.880974,1387,F9 V,18.10250383,1.23E+02,,"<div><span class=supersubNumber"">0.340</span><span class=""superscript"">+0.019</span><span class=""subscript"">-0.020</span></div>""",1.16
GJ 367 c,Radial Velocity,11.5301,,M1.0 V,1.86,,47.91674,"<div><span class=supersubNumber"">-1.54</span><span class=""superscript"">+0.04</span><span class=""subscript"">-0.04</span></div>""",0.455
HD 284149 AB b,Imaging,,2395,,12,8.35E+03,,"<div><span class=supersubNumber"">0.342</span><span class=""superscript"">+0.081</span><span class=""subscript"">-0.099</span></div>""",1.13
Kepler-925 b,Transit,33.8678531,394,,2.34,,,-0.6840599,0.77
Kepler-54 c,Transit,12.0717249,395,M1 V,1.23,7.00E-01,,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.1</span><span class=""subscript"">-0.1</span></div>""",0.51
HD 210193 b,Radial Velocity,649.918,,G3 V,14.3,,3.6,"<div><span class=supersubNumber"">0.055783038</span><span class=""superscript"">+0.001152670</span><span class=""subscript"">-0.001155776</span></div>""",1.04
HIP 54597 b,Radial Velocity,3274,,K5 V,13.3,7.63E+02,,"<div><span class=supersubNumber"">-0.682</span><span class=""superscript"">+0.004</span><span class=""subscript"">-0.004</span></div>""",0.8
TOI-1235 b,Transit,3.444714,775,M0.5 V,1.69,6.69E+00,-27.74811,"<div><span class=supersubNumber"">-1.05</span><span class=""superscript"">+0.00</span><span class=""subscript"">-0.00</span></div>""",0.63
TOI-4010 e,Radial Velocity,762,174,K V,13.3,,,"<div><span class=supersubNumber"">-0.3996049</span><span class=""superscript"">+0.0281905</span><span class=""subscript"">-0.0148203</span></div>""",0.88
